a,ə,(∅ ə ∅)
special,ˈspeʃəl,ˈ(sp e ∅) (ʃ ə l)
specialist,ˈspeʃəlɪst,ˈ(sp e ∅) (ʃ ə ∅) (l ɪ st)
specialise,ˈspeʃəˌlaɪz,ˈ(sp e ∅) (ʃ ə ∅) ˌ(l aɪ z)
specialty,ˈspeʃəlti,ˈ(sp e ∅) (ʃ ə l) (t i ∅)
species,ˈspiːʃiːz,ˈ(sp iː ∅) (ʃ iː z)
specific,spəˈsɪfɪk,(sp ə ∅) ˈ(s ɪ ∅) (f ɪ k)
specifically,spəˈsɪfɪkli,(sp ə ∅) ˈ(s ɪ ∅) (f ɪ ∅) (kl i ∅)
specify,ˈspesɪfaɪ,ˈ(sp e ∅) (s ɪ ∅) (f aɪ ∅)
spectacular,spekˈtakjʊlə,(sp e k) ˈ(t a ∅) (kj ʊ ∅) (l ə ∅)
spectrum,ˈspektrəm,ˈ(sp e k) (tr ə m)
speculate,ˈspekjʊleɪt,ˈ(sp e ∅) (kj ʊ ∅) (l eɪ t)
speculation,ˌspekjʊˈleɪʃn̩,ˌ(sp e ∅) (kj ʊ ∅) ˈ(l eɪ ∅) (ʃ n̩ ∅)
speech,spiːʧ,(sp iː ʧ)
speed,spiːd,(sp iː d)
speed,spiːd,(sp iː d)
spell,spel,(sp e l)
spend,spend,(sp e nd)
spending,ˈspendɪŋ,ˈ(sp e n) (d ɪ ŋ)
sphere,sfiə,(sf iə ∅)
spill,spɪl,(sp ɪ l)
spin,spɪn,(sp ɪ n)
spine,spaɪn,(sp aɪ n)
spirit,ˈspɪrɪt,ˈ(sp ɪ ∅) (r ɪ t)
spiritual,ˈspɪrɪʧʊəl,ˈ(sp ɪ ∅) (r ɪ ∅) (ʧ ʊə l)
spit,spɪt,(sp ɪ t)
spite,spaɪt,(sp aɪ t)
split,splɪt,(spl ɪ t)
spokesman,ˈspəʊksmən,ˈ(sp əʊ k) (sm ə n)
sponsor,ˈspɒnsə,ˈ(sp ɒ n) (s ə ∅)
spoon,spuːn,(sp uː n)
sport,spɔːt,(sp ɔː t)
spot,spɒt,(sp ɒ t)
spouse,spaʊz,(sp aʊ z)
spray,spreɪ,(spr eɪ ∅)
spread,spred,(spr e d)
spring,sprɪŋ,(spr ɪ ŋ)
sprinkle,ˈsprɪŋkɫ̩,ˈ(spr ɪ ŋ) (k ɫ̩ ∅)
spy,ˈspaɪ,ˈ(sp aɪ ∅)
squad,skwɒd,(skw ɒ d)
square,skweə,(skw eə ∅)
square,skweə,(skw eə ∅)
squeeze,skwiːz,(skw iː z)
stability,stəˈbɪlɪti,(st ə ∅) ˈ(b ɪ ∅) (l ɪ ∅) (t i ∅)
stable,ˈsteɪbɫ̩,ˈ(st eɪ ∅) (b ɫ̩ ∅)
stack,stak,(st a k)
stadium,ˈsteɪdiəm,ˈ(st eɪ ∅) (d iə m)
staff,stɑːf,(st ɑː f)
stage,steɪʤ,(st eɪ ʤ)
stair,steə,(st eə ∅)
stake,steɪk,(st eɪ k)
stance,stans,(st a ns)
stand,stand,(st a nd)
standard,ˈstandəd,ˈ(st a n) (d ə d)
standing,ˈstandɪŋ,ˈ(st a n) (d ɪ ŋ)
star,stɑː,(st ɑː ∅)
stare,steə,(st eə ∅)
start,stɑːt,(st ɑː t)
starter,ˈstɑːtə,ˈ(st ɑː ∅) (t ə ∅)
starting,ˈstɑːtɪŋ,ˈ(st ɑː ∅) (t ɪ ŋ)
state,steɪt,(st eɪ t)
statement,ˈsteɪtmənt,ˈ(st eɪ t) (m ə nt)
station,ˈsteɪʃn̩,ˈ(st eɪ ∅) (ʃ n̩ ∅)
statistical,stəˈtɪstɪkəl,(st ə ∅) ˈ(t ɪ ∅) (st ɪ ∅) (k ə l)
statistics,stəˈtɪstɪks,(st ə ∅) ˈ(t ɪ ∅) (st ɪ ks)
statue,ˈstaʧuː,ˈ(st a ∅) (ʧ uː ∅)
status,ˈsteɪtəs,ˈ(st eɪ ∅) (t ə s)
statute,ˈstaʧuːt,ˈ(st a ∅) (ʧ uː t)
stay,steɪ,(st eɪ ∅)
steadily,ˈstedɪli,ˈ(st e ∅) (d ɪ ∅) (l i ∅)
steady,ˈstedi,ˈ(st e ∅) (d i ∅)
steak,steɪk,(st eɪ k)
steal,stiːl,(st iː l)
steam,stiːm,(st iː m)
steel,stiːl,(st iː l)
steep,stiːp,(st iː p)
steer,stiə,(st iə ∅)
stem,stem,(st e m)
step,step,(st e p)
stereotype,ˈsteriətaɪp,ˈ(st e ∅) (r iə ∅) (t aɪ p)
stick,stɪk,(st ɪ k)
stiff,stɪf,(st ɪ f)
still,stɪl,(st ɪ l)
stimulate,ˈstɪmjʊleɪt,ˈ(st ɪ ∅) (mj ʊ ∅) (l eɪ t)
stimulus,ˈstɪmjʊləs,ˈ(st ɪ ∅) (mj ʊ ∅) (l ə s)
stir,stɜː,(st ɜː ∅)
stock,stɒk,(st ɒ k)
stomach,ˈstʌmək,ˈ(st ʌ ∅) (m ə k)
stone,stəʊn,(st əʊ n)
stop,stɒp,(st ɒ p)
storage,ˈstɔːrɪʤ,ˈ(st ɔː ∅) (r ɪ ʤ)
store,stɔː,(st ɔː ∅)
store,stɔː,(st ɔː ∅)
storm,stɔːm,(st ɔː m)
story,ˈstɔːri,ˈ(st ɔː ∅) (r i ∅)
stove,stəʊv,(st əʊ v)
straight,streɪt,(str eɪ t)
straighten,ˈstreɪtn̩,ˈ(str eɪ ∅) (t n̩ ∅)
strain,streɪn,(str eɪ n)
strange,streɪnʤ,(str eɪ nʤ)
stranger,ˈstreɪnʤə,ˈ(str eɪ n) (ʤ ə ∅)
strategic,strəˈtiːʤɪk,(str ə ∅) ˈ(t iː ∅) (ʤ ɪ k)
strategy,ˈstratəʤi,ˈ(str a ∅) (t ə ∅) (ʤ i ∅)
straw,strɔː,(str ɔː ∅)
streak,striːk,(str iː k)
stream,striːm,(str iː m)
street,striːt,(str iː t)
strength,streŋθ,(str e ŋθ)
strengthen,ˈstreŋθn̩,ˈ(str e ŋ) (θ n̩ ∅)
stress,stres,(str e s)
stretch,streʧ,(str e ʧ)
strict,strɪkt,(str ɪ kt)
strictly,ˈstrɪkli,ˈ(str ɪ kt) (l i ∅)
strike,straɪk,(str aɪ k)
striking,ˈstraɪkɪŋ,ˈ(str aɪ ∅) (k ɪ ŋ)
string,strɪŋ,(str ɪ ŋ)
strip,strɪp,(str ɪ p)
stroke,strəʊk,(str əʊ k)
strong,strɒŋ,(str ɒ ŋ)
strongly,ˈstrɒŋli,ˈ(str ɒ ŋ) (l i ∅)
structural,ˈstrʌkʧərəl,ˈ(str ʌ k) (ʧ ə ∅) (r ə l)
structure,ˈstrʌkʧə,ˈ(str ʌ k) (ʧ ə ∅)
struggle,ˈstrʌgɫ̩,ˈ(str ʌ ∅) (g ɫ̩ ∅)
student,ˈstjuːdənt,ˈ(stj uː ∅) (d ə nt)
studio,ˈstjuːdiəʊ,ˈ(stj uː ∅) (d i ∅) (∅ əʊ ∅)
study,ˈstʌdi,ˈ(st ʌ ∅) (d i ∅)
stuff,stʌf,(st ʌ f)
stumble,ˈstʌmbɫ̩,ˈ(st ʌ m) (b ɫ̩ ∅)
stupid,ˈstjuːpɪd,ˈ(stj uː ∅) (p ɪ d)
style,staɪl,(st aɪ l)
subject,sʌbˈʤekt,(s ʌ b) ˈ(ʤ e kt)
submit,səbˈmɪt,(s ə b) ˈ(m ɪ t)
subsequent,ˈsʌbsɪkwənt,ˈ(s ʌ b) (s ɪ ∅) (kw ə nt)
subsidy,ˈsʌbsədi,ˈ(s ʌ b) (s ə ∅) (d i ∅)
substance,ˈsʌbstəns,ˈ(s ʌ b) (st ə ns)
substantial,səbˈstanʃəl,(s ə b) ˈ(st a n) (ʃ ə l)
substantially,səbˈstanʃəli,(s ə b) ˈ(st a n) (ʃ ə ∅) (l i ∅)
subtle,ˈsʌtɫ̩,ˈ(s ʌ ∅) (t ɫ̩ ∅)
suburb,ˈsʌbɜːb,ˈ(s ʌ ∅) (b ɜː b)
suburban,səˈbɜːbən,(s ə ∅) ˈ(b ɜː ∅) (b ə n)
succeed,səkˈsiːd,(s ə k) ˈ(s iː d)
success,səkˈses,(s ə k) ˈ(s e s)
successful,səkˈsesfəl,(s ə k) ˈ(s e s) (f ə l)
successfully,səkˈsesfəli,(s ə k) ˈ(s e s) (f ə ∅) (l i ∅)
such,sʌʧ,(s ʌ ʧ)
suck,sʌk,(s ʌ k)
sudden,ˈsʌdn̩,ˈ(s ʌ ∅) (d n̩ ∅)
suddenly,sʌdn̩li,(s ʌ ∅) (d n̩ ∅) (l i ∅)
sue,sjuː,(sj uː ∅)
suffer,ˈsʌfə,ˈ(s ʌ ∅) (f ə ∅)
suffering,ˈsʌfərɪŋ,ˈ(s ʌ ∅) (f ə ∅) (r ɪ ŋ)
sufficient,səˈfɪʃənt,(s ə ∅) ˈ(f ɪ ∅) (ʃ ə nt)
sugar,ˈʃʊgə,ˈ(ʃ ʊ ∅) (g ə ∅)
suggest,səˈʤest,(s ə ∅) ˈ(ʤ e st)
suggestion,səˈʤesʧən,(s ə ∅) ˈ(ʤ e s) (ʧ ə n)
suicide,ˈsjuːɪsaɪd,ˈ(sj uː ∅) (∅ ɪ ∅) (s aɪ d)
suit,suːt,(s uː t)
suitable,ˈsuːtəbɫ̩,ˈ(s uː ∅) (t ə ∅) (b ɫ̩ ∅)
suite,swiːt,(sw iː t)
sum,sʌm,(s ʌ m)
summary,ˈsʌməri,ˈ(s ʌ ∅) (m ə ∅) (r i ∅)
summer,ˈsʌmə,ˈ(s ʌ ∅) (m ə ∅)
summit,ˈsʌmɪt,ˈ(s ʌ ∅) (m ɪ t)
sun,sʌn,(s ʌ n)
sunlight,ˈsʌnlaɪt,ˈ(s ʌ n) (l aɪ t)
sunny,ˈsʌni,ˈ(s ʌ ∅) (n i ∅)
super,ˈsuːpə,ˈ(s uː ∅) (p ə ∅)
superior,suːˈpɪːriə,(s uː ∅) ˈ(p ɪː ∅) (r iə ∅)
supermarket,ˈsuːpəmɑːkɪt,ˈ(s uː ∅) (p ə ∅) (m ɑː ∅) (k ɪ t)
supervisor,ˈsuːpəvaɪzə,ˈ(s uː ∅) (p ə ∅) (v aɪ ∅) (z ə ∅)
supplier,səˈplaɪə,(s ə ∅) ˈ(pl aɪ ∅) (∅ ə ∅)
supply,səˈplaɪ,(s ə ∅) ˈ(pl aɪ ∅)
support,səˈpɔːt,(s ə ∅) ˈ(p ɔː t)
supporter,səˈpɔːtə,(s ə ∅) ˈ(p ɔː ∅) (t ə ∅)
supportive,səˈpɔːtɪv,(s ə ∅) ˈ(p ɔː ∅) (t ɪ v)
suppose,səˈpəʊz,(s ə ∅) ˈ(p əʊ z)
supposed,səˈpəʊzd,(s ə ∅) ˈ(p əʊ zd)
supposedly,səˈpəʊzədli,(s ə ∅) ˈ(p əʊ ∅) (z ə d) (l i ∅)
supreme,suːˈpriːm,(s uː ∅) ˈ(pr iː m)
sure,ʃʊə,(ʃ ʊə ∅)
surely,ˈʃʊəli,ˈ(ʃ ʊə ∅) (l i ∅)
surface,ˈsɜːfɪs,ˈ(s ɜː ∅) (f ɪ s)
surgeon,ˈsɜːʤən,ˈ(s ɜː ∅) (ʤ ə n)
surgery,ˈsɜːʤəri,ˈ(s ɜː ∅) (ʤ ə ∅) (r i ∅)
surprise,səˈpraɪz,(s ə ∅) ˈ(pr aɪ z)
surprised,səˈpraɪzd,(s ə ∅) ˈ(pr aɪ zd)
surprising,səˈpraɪzɪŋ,(s ə ∅) ˈ(pr aɪ ∅) (z ɪ ŋ)
surprisingly,səˈpraɪzɪŋli,(s ə ∅) ˈ(pr aɪ ∅) (z ɪ ŋ) (l i ∅)
surround,səˈraʊnd,(s ə ∅) ˈ(r aʊ nd)
surrounding,səˈraʊndɪŋ,(s ə ∅) ˈ(r aʊ n) (d ɪ ŋ)
surveillance,sɜːˈveɪləns,(s ɜː ∅) ˈ(v eɪ ∅) (l ə ns)
survey,səˈveɪ,(s ə ∅) ˈ(v eɪ ∅)
survival,səˈvaɪvəl,(s ə ∅) ˈ(v aɪ ∅) (v ə l)
survive,səˈvaɪv,(s ə ∅) ˈ(v aɪ v)
survivor,səˈvaɪvə,(s ə ∅) ˈ(v aɪ ∅) (v ə ∅)
suspect,səˈspekt,(s ə ∅) ˈ(sp e kt)
suspend,səˈspend,(s ə ∅) ˈ(sp e nd)
suspicion,səˈspɪʃn̩,(s ə ∅) ˈ(sp ɪ ∅) (ʃ n̩ ∅)
suspicious,səˈspɪʃəs,(s ə ∅) ˈ(sp ɪ ∅) (ʃ ə s)
sustain,səˈsteɪn,(s ə ∅) ˈ(st eɪ n)
sustainable,səˈsteɪnəbɫ̩,(s ə ∅) ˈ(st eɪ ∅) (n ə ∅) (b ɫ̩ ∅)
swallow,ˈswɒləʊ,ˈ(sw ɒ ∅) (l əʊ ∅)
swear,sweə,(sw eə ∅)
sweat,swet,(sw e t)
sweater,ˈswetə,ˈ(sw e ∅) (t ə ∅)
sweep,swiːp,(sw iː p)
sweet,swiːt,(sw iː t)
swell,swel,(sw e l)
swim,swɪm,(sw ɪ m)
swimming,ˈswɪmɪŋ,ˈ(sw ɪ ∅) (m ɪ ŋ)
swing,swɪŋ,(sw ɪ ŋ)
switch,swɪʧ,(sw ɪ ʧ)
sword,sɔːd,(s ɔː d)
symbol,ˈsɪmbəl,ˈ(s ɪ m) (b ə l)
symbolic,sɪmˈbɒlɪk,(s ɪ m) ˈ(b ɒ ∅) (l ɪ k)
sympathy,ˈsɪmpəθi,ˈ(s ɪ m) (p ə ∅) (θ i ∅)
symptom,ˈsɪmptəm,ˈ(s ɪ mp) (t ə m)
syndrome,ˈsɪndrəʊm,ˈ(s ɪ n) (dr əʊ m)
system,ˈsɪstəm,ˈ(s ɪ ∅) (st ə m)
table,ˈteɪbɫ̩,ˈ(t eɪ ∅) (b ɫ̩ ∅)
tablespoon,ˈteɪbɫ̩spuːn,ˈ(t eɪ ∅) (b ɫ̩ ∅) (sp uː n)
tackle,ˈtakɫ̩,ˈ(t a ∅) (k ɫ̩ ∅)
tactic,ˈtaktɪk,ˈ(t a k) (t ɪ k)
tag,tag,(t a g)
tail,teɪl,(t eɪ l)
take,teɪk,(t eɪ k)
tale,teɪl,(t eɪ l)
talent,ˈtalənt,ˈ(t a ∅) (l ə nt)
talented,ˈtaləntɪd,ˈ(t a ∅) (l ə n) (t ɪ d)
talk,ˈtɔːk,ˈ(t ɔː k)
tall,tɔːl,(t ɔː l)
tank,taŋk,(t a ŋk)
tap,tap,(t a p)
tape,teɪp,(t eɪ p)
target,ˈtɑːgɪt,ˈ(t ɑː ∅) (g ɪ t)
task,tɑːsk,(t ɑː sk)
taste,teɪst,(t eɪ st)
tax,taks,(t a ks)
taxpayer,ˈtakspeɪə,ˈ(t a ks) (p eɪ ∅) (∅ ə ∅)
tea,tiː,(t iː ∅)
teach,tiːʧ,(t iː ʧ)
teacher,ˈtiːʧə,ˈ(t iː ∅) (ʧ ə ∅)
teaching,ˈtiːʧɪŋ,ˈ(t iː ∅) (ʧ ɪ ŋ)
team,tiːm,(t iː m)
teammate,ˈtiːmmeɪt,ˈ(t iː m) (m eɪ t)
tear,ˈtiə,ˈ(t iə ∅)
teaspoon,ˈtiːspuːn,ˈ(t iː ∅) (sp uː n)
technical,ˈteknɪkəl,ˈ(t e k) (n ɪ ∅) (k ə l)
technician,tekˈnɪʃn̩,(t e k) ˈ(n ɪ ∅) (ʃ n̩ ∅)
technique,tekˈniːk,(t e k) ˈ(n iː k)
technological,ˌteknəˈlɒʤɪkəl,ˌ(t e k) (n ə ∅) ˈ(l ɒ ∅) (ʤ ɪ ∅) (k ə l)
technology,tekˈnɒləʤi,(t e k) ˈ(n ɒ ∅) (l ə ∅) (ʤ i ∅)
teen,ˈtiːneɪʤ,ˈ(t iː ∅) (n eɪ ʤ)
teenage,ˈtiːneɪʤ,ˈ(t iː ∅) (n eɪ ʤ)
teenager,ˈtiːneɪʤə,ˈ(t iː ∅) (n eɪ ∅) (ʤ ə ∅)
teeshirt,ˈtiːʃɜːt,ˈ(t iː ∅) (ʃ ɜː t)
telephone,ˈtelɪfəʊn,ˈ(t e ∅) (l ɪ ∅) (f əʊ n)
telescope,ˈtelɪskəʊp,ˈ(t e ∅) (l ɪ ∅) (sk əʊ p)
television,ˈtelɪˌvɪʒn̩,ˈ(t e ∅) (l ɪ ∅) ˌ(v ɪ ∅) (ʒ n̩ ∅)
tell,tel,(t e l)
temperature,ˈtemprəʧə,ˈ(t e m) (pr ə ∅) (ʧ ə ∅)
temple,ˈtempɫ̩,ˈ(t e m) (p ɫ̩ ∅)
temporary,ˈtemprəri,ˈ(t e m) (pr ə ∅) (r i ∅)
ten,ten,(t e n)
tend,tend,(t e nd)
tendency,ˈtendənsi,ˈ(t e n) (d ə n) (s i ∅)
tender,ˈtendə,ˈ(t e n) (d ə ∅)
tennis,ˈtenɪs,ˈ(t e ∅) (n ɪ s)
tension,ˈtenʃn̩,ˈ(t e n) (ʃ n̩ ∅)
tent,tent,(t e nt)
term,tɜːm,(t ɜː m)
terms,tɜːmz,(t ɜː mz)
terrain,teˈreɪn,(t e ∅) ˈ(r eɪ n)
terrible,ˈterəbɫ̩,ˈ(t e ∅) (r ə ∅) (b ɫ̩ ∅)
terribly,ˈterəbli,ˈ(t e ∅) (r ə ∅) (bl i ∅)
terrific,təˈrɪfɪk,(t ə ∅) ˈ(r ɪ ∅) (f ɪ k)
territory,ˈterɪtr̩i,ˈ(t e ∅) (r ɪ ∅) (t r̩ ∅) (∅ i ∅)
terror,ˈterə,ˈ(t e ∅) (r ə ∅)
terrorism,ˈterərɪzəm,ˈ(t e ∅) (r ə ∅) (r ɪ ∅) (z ə m)
terrorist,ˈterərɪst,ˈ(t e ∅) (r ə ∅) (r ɪ st)
test,ˈtest,ˈ(t e st)
testify,ˈtestɪfaɪ,ˈ(t e ∅) (st ɪ ∅) (f aɪ ∅)
testimony,ˈtestɪməni,ˈ(t e ∅) (st ɪ ∅) (m ə ∅) (n i ∅)
testing,ˈtestɪŋ,ˈ(t e ∅) (st ɪ ŋ)
text,tekst,(t e kst)
textbook,ˈteksbʊk,ˈ(t e ks) (b ʊ k)
texture,ˈteksʧə,ˈ(t e ks) (ʧ ə ∅)
than,ðan,(ð a n)
thank,θaŋk,(θ a ŋk)
thanks,θaŋks,(θ a ŋks)
thanksgiving,θaŋksˈgɪvɪŋ,(θ a ŋks) ˈ(g ɪ ∅) (v ɪ ŋ)
that,ðat,(ð a t)
the,ðiː,(ð iː ∅)
theatre,ˈθiətə,ˈ(θ iə ∅) (t ə ∅)
their,ðeə,(ð eə ∅)
them,ðəm,(ð ə m)
theme,θiːm,(θ iː m)
themselves,ðəmˈselvz,(ð ə m) ˈ(s e lvz)
then,ðen,(ð e n)
theological,ˌθiəˈlɒʤɪkəl,ˌ(θ iə ∅) ˈ(l ɒ ∅) (ʤ ɪ ∅) (k ə l)
theology,θɪˈɒləʤi,(θ ɪ ∅) ˈ(∅ ɒ ∅) (l ə ∅) (ʤ i ∅)
theoretical,θiəˈretɪkəl,(θ iə ∅) ˈ(r e ∅) (t ɪ ∅) (k ə l)
theory,ˈθiəri,ˈ(θ iə ∅) (r i ∅)
therapist,ˈθerəpɪst,ˈ(θ e ∅) (r ə ∅) (p ɪ st)
therapy,ˈθerəpi,ˈ(θ e ∅) (r ə ∅) (p i ∅)
there,ðeə,(ð eə ∅)
thereby,ðeəˈbaɪ,(ð eə ∅) ˈ(b aɪ ∅)
therefore,ˈðeəfɔː,ˈ(ð eə ∅) (f ɔː ∅)
these,ðiːz,(ð iː z)
they,ˈðeɪ,ˈ(ð eɪ ∅)
thick,θɪk,(θ ɪ k)
thigh,θaɪ,(θ aɪ ∅)
thin,θɪn,(θ ɪ n)
thing,ˈθɪŋ,ˈ(θ ɪ ŋ)
think,ˈθɪŋk,ˈ(θ ɪ ŋk)
thinking,ˈθɪŋkɪŋ,ˈ(θ ɪ ŋ) (k ɪ ŋ)
third,ˈθɜːd,ˈ(θ ɜː d)
thirty,ˈθɜːti,ˈ(θ ɜː ∅) (t i ∅)
this,ðɪs,(ð ɪ s)
thoroughly,ˈθʌrəli,ˈ(θ ʌ ∅) (r ə ∅) (l i ∅)
those,ðəʊz,(ð əʊ z)
though,ðəʊ,(ð əʊ ∅)
thought,ˈθɔːt,ˈ(θ ɔː t)
thousand,ˈθaʊzn̩d,ˈ(θ aʊ ∅) (z n̩ d)
thread,θred,(θr e d)
threat,θret,(θr e t)
threaten,ˈθretn̩,ˈ(θr e ∅) (t n̩ ∅)
three,θriː,(θr iː ∅)
threshold,ˈθreʃhəʊld,ˈ(θr e ʃ) (h əʊ ld)
thrive,θraɪv,(θr aɪ v)
throat,θrəʊt,(θr əʊ t)
through,θruː,(θr uː ∅)
throughout,θruːˈaʊt,(θr uː ∅) ˈ(∅ aʊ t)
throw,ˈθrəʊ,ˈ(θr əʊ ∅)
thumb,ˈθʌm,ˈ(θ ʌ m)
thus,ðʌs,(ð ʌ s)
ticket,ˈtɪkɪt,ˈ(t ɪ ∅) (k ɪ t)
tide,taɪd,(t aɪ d)
tie,taɪ,(t aɪ ∅)
tight,taɪt,(t aɪ t)
tighten,ˈtaɪtn̩,ˈ(t aɪ ∅) (t n̩ ∅)
tightly,ˈtaɪtli,ˈ(t aɪ t) (l i ∅)
tile,taɪl,(t aɪ l)
till,tɪl,(t ɪ l)
timber,ˈtɪmbə,ˈ(t ɪ m) (b ə ∅)
time,ˈtaɪm,ˈ(t aɪ m)
timing,ˈtaɪmɪŋ,ˈ(t aɪ ∅) (m ɪ ŋ)
tiny,ˈtaɪni,ˈ(t aɪ ∅) (n i ∅)
tip,ˈtɪp,ˈ(t ɪ p)
tire,ˈtaɪə,ˈ(t aɪ ∅) (∅ ə ∅)
tired,ˈtaɪəd,ˈ(t aɪ ∅) (∅ ə d)
tissue,ˈtɪʃuː,ˈ(t ɪ ∅) (ʃ uː ∅)
title,ˈtaɪtɫ̩,ˈ(t aɪ ∅) (t ɫ̩ ∅)
to,tuː,(t uː ∅)
tobacco,təˈbakəʊ,(t ə ∅) ˈ(b a ∅) (k əʊ ∅)
today,təˈdeɪ,(t ə ∅) ˈ(d eɪ ∅)
toe,təʊ,(t əʊ ∅)
together,təˈgeðə,(t ə ∅) ˈ(g e ∅) (ð ə ∅)
toilet,ˈtɔɪlɪt,ˈ(t ɔɪ ∅) (l ɪ t)
tolerance,ˈtɒlərəns,ˈ(t ɒ ∅) (l ə ∅) (r ə ns)
tolerate,ˈtɒləreɪt,ˈ(t ɒ ∅) (l ə ∅) (r eɪ t)
toll,təʊl,(t əʊ l)
tomato,təˈmɑːtəʊ,(t ə ∅) ˈ(m ɑː ∅) (t əʊ ∅)
tomorrow,təˈmɒrəʊ,(t ə ∅) ˈ(m ɒ ∅) (r əʊ ∅)
tone,təʊn,(t əʊ n)
tongue,tʌŋ,(t ʌ ŋ)
tonight,təˈnaɪt,(t ə ∅) ˈ(n aɪ t)
too,tuː,(t uː ∅)
tool,tuːl,(t uː l)
tooth,tuːθ,(t uː θ)
top,tɒp,(t ɒ p)
topic,ˈtɒpɪk,ˈ(t ɒ ∅) (p ɪ k)
toss,tɒs,(t ɒ s)
total,ˈtəʊtɫ̩,ˈ(t əʊ ∅) (t ɫ̩ ∅)
totally,ˈtəʊtəli,ˈ(t əʊ ∅) (t ə ∅) (l i ∅)
touch,tʌʧ,(t ʌ ʧ)
touchdown,ˈtʌʧdaʊn,ˈ(t ʌ ʧ) (d aʊ n)
tough,tʌf,(t ʌ f)
tour,tʊə,(t ʊə ∅)
tourism,ˈtʊərɪzəm,ˈ(t ʊə ∅) (r ɪ ∅) (z ə m)
tourist,ˈtʊərɪst,ˈ(t ʊə ∅) (r ɪ st)
tournament,ˈtɔːnəmənt,ˈ(t ɔː ∅) (n ə ∅) (m ə nt)
toward,təˈwɔːd,(t ə ∅) ˈ(w ɔː d)
towards,təˈwɔːdz,(t ə ∅) ˈ(w ɔː dz)
towel,ˈtaʊəl,ˈ(t aʊ ∅) (∅ ə l)
tower,ˈtaʊə,ˈ(t aʊ ∅) (∅ ə ∅)
town,taʊn,(t aʊ n)
toxic,ˈtɒksɪk,ˈ(t ɒ k) (s ɪ k)
toy,tɔɪ,(t ɔɪ ∅)
trace,treɪs,(tr eɪ s)
track,trak,(tr a k)
trade,treɪd,(tr eɪ d)
trading,ˈtreɪdɪŋ,ˈ(tr eɪ ∅) (d ɪ ŋ)
tradition,trəˈdɪʃn̩,(tr ə ∅) ˈ(d ɪ ∅) (ʃ n̩ ∅)
traditional,trəˈdɪʃn̩əl,(tr ə ∅) ˈ(d ɪ ∅) (ʃ n̩ ∅) (∅ ə l)
traditionally,trəˈdɪʃənəli,(tr ə ∅) ˈ(d ɪ ∅) (ʃ ə ∅) (n ə ∅) (l i ∅)
traffic,ˈtrafɪk,ˈ(tr a ∅) (f ɪ k)
tragedy,ˈtraʤədi,ˈ(tr a ∅) (ʤ ə ∅) (d i ∅)
tragic,ˈtraʤɪk,ˈ(tr a ∅) (ʤ ɪ k)
trail,treɪl,(tr eɪ l)
trailer,ˈtreɪlə,ˈ(tr eɪ ∅) (l ə ∅)
train,treɪn,(tr eɪ n)
trainer,ˈtreɪnə,ˈ(tr eɪ ∅) (n ə ∅)
training,ˈtreɪnɪŋ,ˈ(tr eɪ ∅) (n ɪ ŋ)
trait,treɪt,(tr eɪ t)
transaction,tranˈzakʃn̩,(tr a n) ˈ(z a k) (ʃ n̩ ∅)
transfer,ˈtransfɜː,ˈ(tr a ns) (f ɜː ∅)
transform,ˈtransfɔːm,ˈ(tr a ns) (f ɔː m)
transformation,ˌtransfəˈmeɪʃn̩,ˌ(tr a ns) (f ə ∅) ˈ(m eɪ ∅) (ʃ n̩ ∅)
transit,ˈtransɪt,ˈ(tr a n) (z ɪ t)
transition,tranˈzɪʃn̩,(tr a n) ˈ(z ɪ ∅) (ʃ n̩ ∅)
translate,tranzˈleɪt,(tr a n) ˈ(sl eɪ t)
translation,transˈleɪʃn̩,(tr a n) ˈ(sl eɪ ∅) (ʃ n̩ ∅)
transmission,tranzˈmɪʃn̩,(tr a nz) ˈ(m ɪ ∅) (ʃ n̩ ∅)
transmit,tranzˈmɪt,(tr a nz) ˈ(m ɪ t)
transport,transˈpɔːt,(tr a n) ˈ(sp ɔː t)
transportation,ˌtranspɔːˈteɪʃn̩,ˌ(tr a n) (sp ɔː ∅) ˈ(t eɪ ∅) (ʃ n̩ ∅)
trap,trap,(tr a p)
trap,trap,(tr a p)
trash,traʃ,(tr a ʃ)
trauma,ˈtrɔːmə,ˈ(tr ɔː ∅) (m ə ∅)
travel,ˈtravəl,ˈ(tr a ∅) (v ə l)
traveller,ˈtravlə,ˈ(tr a v) (l ə ∅)
tray,treɪ,(tr eɪ ∅)
treasure,ˈtreʒə,ˈ(tr e ∅) (ʒ ə ∅)
treat,triːt,(tr iː t)
treatment,ˈtriːtmənt,ˈ(tr iː t) (m ə nt)
treaty,ˈtriːti,ˈ(tr iː ∅) (t i ∅)
tree,triː,(tr iː ∅)
tremendous,trɪˈmendəs,(tr ɪ ∅) ˈ(m e n) (d ə s)
trend,trend,(tr e nd)
trial,ˈtraɪəl,ˈ(tr aɪ ∅) (∅ ə l)
tribal,ˈtraɪbəl,ˈ(tr aɪ ∅) (b ə l)
tribe,traɪb,(tr aɪ b)
trick,trɪk,(tr ɪ k)
trigger,ˈtrɪgə,ˈ(tr ɪ ∅) (g ə ∅)
trim,trɪm,(tr ɪ m)
trip,trɪp,(tr ɪ p)
triumph,ˈtraɪəmf,ˈ(tr aɪ ∅) (∅ ə mf)
troop,truːp,(tr uː p)
